band_index,F_score,p_value
304,40.09628390740381,9.185119911635526e-08
305,40.09239944998179,9.194875299044236e-08
303,40.0840452256511,9.215892697137898e-08
306,40.079601989063235,9.227091341471897e-08
307,40.06736804957328,9.257999020788715e-08
302,40.06231149233561,9.270805412893186e-08
308,40.052624841820396,9.295389820776552e-08
301,40.046640476030014,9.310611968494709e-08
309,40.034890756555406,9.340574966677238e-08
300,40.0192067282397,9.380727887574293e-08
310,40.00168571933328,9.425796964893926e-08
299,39.99418379550874,9.445163166166487e-08
298,39.9879069174128,9.461398847052016e-08
297,39.9734855151994,9.498811554176819e-08
311,39.96146639269629,9.530110195936005e-08
296,39.958482515784546,9.537897099380828e-08
295,39.93024595284054,9.611914755478585e-08
312,39.91212536810108,9.659730823029466e-08
294,39.899406020173885,9.693442620901885e-08
313,39.87702473054284,9.753061454476793e-08
293,39.86352952904341,9.789194678363823e-08
314,39.82516485013382,9.89268136475203e-08
292,39.81738575625836,9.913804037630277e-08
315,39.76995278913567,1.0043622836800534e-07
291,39.758651221394224,1.0074815115937437e-07
316,39.71249056773092,1.0203272771132124e-07
290,39.70057813926695,1.0236700054262797e-07
289,39.64412049131995,1.0396687858795575e-07
317,39.63764448477746,1.0415205601338772e-07
288,39.59134911368928,1.0548591857445357e-07
318,39.57025136468522,1.0609969395713604e-07
287,39.529409852431094,1.0729847807680426e-07
319,39.47935740999631,1.0878694295452456e-07
286,39.47667611790394,1.0886728561336221e-07
285,39.426833415196285,1.1037211804605805e-07
320,39.386962595523606,1.1159151817006771e-07
284,39.365878953865234,1.1224201550222084e-07
283,39.31172548091337,1.139310385673299e-07
321,39.287472660679796,1.1469606043204018e-07
282,39.26684264355018,1.15351028897253e-07
281,39.22014162182107,1.1684818128722193e-07
322,39.19302847097138,1.1772668051189566e-07
280,39.16070119642898,1.1878314792453594e-07
279,39.085672896103354,1.2127344286148e-07
323,39.04610892574694,1.226085289824278e-07
278,38.9924601111855,1.244434781822023e-07
324,38.910222911328226,1.273121186715347e-07
277,38.8900156767004,1.28027513840159e-07
276,38.80260928292751,1.311706599457281e-07
325,38.75967793660651,1.3274389376283525e-07
275,38.7106212674731,1.345657481000332e-07
274,38.61861558822091,1.3805340937837735e-07
326,38.560486103004756,1.4030548573364602e-07
273,38.529484131387505,1.4152223582016273e-07
272,38.42872121110753,1.4555362898188134e-07
327,38.37262062700481,1.4784995420865027e-07
271,38.34580128911318,1.4896107023720636e-07
270,38.24760396934222,1.5310435369467467e-07
269,38.158644235177086,1.569618273467905e-07
328,38.14918906596805,1.5737774949633689e-07
268,38.06288007473085,1.612280266634537e-07
267,37.96378648237757,1.6577025974216365e-07
329,37.945279671141996,1.666332815800152e-07
266,37.848959620001814,1.7120134335081156e-07
330,37.79730343650422,1.737048900636913e-07
265,37.71028839437086,1.7800896301205602e-07
331,37.63910886332003,1.8161254837750827e-07
264,37.55620655497077,1.8590588461624109e-07
332,37.45120386907448,1.9149644519864848e-07
263,37.39632200539762,1.9448808533650584e-07
333,37.24956269144085,2.0273030468533577e-07
262,37.239806712263146,2.0329099082735895e-07
261,37.06542306881477,2.1359097249288757e-07
334,37.04447439958939,2.148644857437342e-07
260,36.889077898346486,2.2456256061194604e-07
335,36.797550865333584,2.304876180010951e-07
259,36.6868490603288,2.3787287497018566e-07
336,36.56720127208616,2.4613357976757e-07
258,36.47573436960223,2.5265045994776867e-07
337,36.31962112269401,2.6419299445750176e-07
257,36.2461123852488,2.698175093787255e-07
338,36.08651750103912,2.8246383963467687e-07
256,36.01667046416797,2.881919058308762e-07
339,35.8257652849531,3.044754152455217e-07
255,35.76238427397363,3.10091790725025e-07
254,35.49485058770384,3.3501843227472854e-07
340,35.493648469503675,3.351350443447071e-07
253,35.192049355945194,3.657751701084995e-07
341,35.16811280693385,3.683291079269393e-07
252,34.85630332841086,4.03353654011648e-07
342,34.849211753152524,4.0418955449461636e-07
251,34.470723663874296,4.5153583848866455e-07
343,34.446345818384934,4.547774589858063e-07
344,34.087803708804984,5.053669292740329e-07
250,34.05826242073012,5.097893191807427e-07
345,33.75038506746999,5.583604571283564e-07
249,33.59673864763065,5.843857251260991e-07
346,33.32955333133486,6.327052910266678e-07
248,33.093780214869696,6.788120770633295e-07
347,32.893070035669986,7.208268307955975e-07
247,32.53208847626812,8.033719739133375e-07
348,32.46210108434936,8.204881398808381e-07
349,32.01197781159886,9.40080358762907e-07
246,31.915068961525265,9.681323491927635e-07
350,31.59194857713537,1.0681569623119268e-06
245,31.23996948729735,1.1895021920806823e-06
351,31.132936481055093,1.2291939631986905e-06
352,30.670195983353718,1.4174062414269523e-06
244,30.500159591769282,1.4939308937599242e-06
353,30.19265042979734,1.6434922129395039e-06
243,29.70901285701112,1.9111807020139135e-06
354,29.694894740895958,1.919647653401241e-06
355,29.16471454069727,2.2677456901292854e-06
242,28.841621851778626,2.5116997282246356e-06
356,28.62337114212651,2.6918994141584504e-06
357,28.03681891360603,3.246391553812852e-06
241,27.903064788026015,3.3888077692179634e-06
358,27.47341711093147,3.892148660936557e-06
359,26.88464310492176,4.712234118200199e-06
240,26.876949959117695,4.72407363368799e-06
360,26.25945663063972,5.78361037323633e-06
239,25.773800195649518,6.7903662173556674e-06
361,25.64706821644055,7.08213700626059e-06
362,24.985080083989626,8.834468757921e-06
238,24.589911000072828,1.009169288881445e-05
363,24.33157500533424,1.1013643140226996e-05
364,23.679233298117865,1.3755910803595438e-05
237,23.344171699761787,1.5433765624196494e-05
365,23.005743206705464,1.7347139761711473e-05
366,22.291187011363935,2.2248683494408404e-05
236,22.03353520553016,2.4354666422549673e-05
367,21.607850435603417,2.8303494618695865e-05
368,20.902161530381225,3.6394878362171264e-05
235,20.679563575035125,3.942336483989223e-05
369,20.18845438780487,4.7076458785472863e-05
370,19.48630198670182,6.082655647020428e-05
234,19.28136000328565,6.558905170222866e-05
371,18.77926187077193,7.898333993568999e-05
372,18.079539966933627,0.00010261399418449699
233,17.868483235671953,0.00011111525210661959
373,17.381896591985083,0.00013365130977508494
374,16.700871789898,0.0001735524273186666
232,16.455555138731675,0.00019083309951280618
375,16.018209857594055,0.00022626649711289775
376,15.341427964629945,0.00029533100589102814
231,15.060250886035721,0.00033023437889515976
377,14.694735902775724,0.00038219948608241976
378,14.087445063905637,0.0004883944854490521
230,13.701201246268637,0.0005717162972742212
379,13.47369229360222,0.0006276706869364801
380,12.880771855217303,0.0008022825313170255
229,12.400192066200889,0.0009811174617131435
381,12.299135224319196,0.0010237983997586583
382,11.70474846226152,0.001317729473035141
228,11.163535050473332,0.0016630897600271911
383,11.138439780603719,0.0016812549045197899
384,10.559686758611507,0.002163765820838008
51,10.041302770960591,0.0027205141069913613
52,10.03864365181464,0.0027237316877271856
50,10.038198970908565,0.0027242701512774138
53,10.036176217585998,0.002726720918980426
54,10.022889980361786,0.002742876471170483
49,10.013756523127617,0.0027540409783113904
227,10.003061323441267,0.0027671755170318928
55,9.990918301073512,0.002782168283445843
385,9.989922185912015,0.0027834019678875787
48,9.981286247753529,0.002794121775171113
46,9.975881501167361,0.002800852861699863
47,9.972842543750055,0.0028046451034079546
45,9.95009625615661,0.002833202324198143
56,9.932018917476721,0.002856116686535544
57,9.900149493240024,0.002896991312132811
44,9.895379273791837,0.0029031623695790713
58,9.882856599434428,0.002919428620639121
59,9.880001769941407,0.0029231503343750747
60,9.852109790011765,0.0029597765135829382
62,9.84239619336022,0.0029726453489378043
61,9.841896056163847,0.002973309541311533
63,9.834052616731041,0.0029837463105069537
43,9.809482527814307,0.003016691290393278
64,9.80859370263789,0.003017890252649016
65,9.78372313468212,0.003051643722379753
66,9.764782112496624,0.003077617123262828
67,9.741559417283618,0.0031097808294972703
42,9.741296829784439,0.0031101465392861347
68,9.70902814680207,0.003155435222639533
41,9.680975836565331,0.0031953722557917616
69,9.664507966374323,0.0032190653314996013
70,9.64203687548036,0.0032516952850797265
71,9.613042542271444,0.0032943146089474307
40,9.606159812490938,0.003304518067443289
72,9.583645572340274,0.003338128669773525
73,9.549155570979106,0.0033903195757969753
39,9.523634051282917,0.003429493824112083
74,9.505872053158056,0.0034570396462452017
75,9.46140607277215,0.003527028988472606
76,9.426866309656539,0.0035824271457907163
38,9.424061804829519,0.0035869654584498815
386,9.422394539385152,0.0035896663440166724
77,9.375886893937416,0.0036658790791346697
37,9.356094014627109,0.003698830990215562
78,9.32852550636028,0.0037452506939453976
36,9.301163204889706,0.003791932460325939
79,9.289965138689984,0.0038112140487527204
80,9.247749264878232,0.0038848412234412737
35,9.223132172032386,0.003928467763243259
81,9.199534114955027,0.003970774834852581
34,9.15425140991693,0.004053313504620228
82,9.152953320783858,0.004055706165964954
83,9.10398447833952,0.004147066174244462
33,9.062876157003231,0.004225441314298363
84,9.056356281021069,0.004238015037513541
85,9.004055588139368,0.0043403215023472795
86,8.955373286863551,0.004437899335572998
32,8.941242079190001,0.004466656242179007
226,8.929477720809794,0.004490746999444432
87,8.898167042473805,0.0045555364863120815
387,8.885689446686685,0.0045816306387507786
88,8.8470424510818,0.004663460731284712
31,8.828818546774338,0.004702582798970982
89,8.792111397780316,0.004782441898051853
90,8.73419840481102,0.004911368095977172
30,8.72667725764961,0.004928379715260502
91,8.683298535530472,0.0050277204731643665
29,8.627640891691978,0.005158296159667741
92,8.62206731173926,0.005171568444202266
93,8.557473882898407,0.005328049175226819
28,8.545194727839553,0.005358359099939801
94,8.486639142903986,0.005505430887396436
27,8.458813154947713,0.0055768135080414075
95,8.409130536950848,0.005706714738164545
388,8.359208344958528,0.005840476028447969
26,8.35819682782316,0.005843220377647387
96,8.337235501971938,0.005900399231075619
25,8.295206819117942,0.006016840152817034
97,8.253592218127803,0.006134536087057674
24,8.20488348037586,0.006275403306006032
98,8.170627748943325,0.006376523523128643
23,8.121177471993313,0.006525555039782822
99,8.087143753934559,0.006630267717676396
22,8.012277885538076,0.006866933277169811
100,8.000041515959358,0.0069064592630593185
225,7.94609677554043,0.007083611667970283
101,7.911256182557445,0.0072005846607859515
21,7.894274747361252,0.007258339133490061
389,7.849351418431325,0.0074135084469335935
102,7.818597436823907,0.007521763308128567
20,7.78451944056053,0.007643681600724201
103,7.7146595354059,0.007900221703057382
104,7.613331273841427,0.00828869531105861
19,7.611051977377193,0.008297663635219634
105,7.4984920098643615,0.008753634953462968
18,7.427951902033295,0.009052903508496812
106,7.384156383032026,0.009244165302024732
390,7.3655601424377055,0.009326673247903232
107,7.26891514128844,0.009768266106652136
17,7.2529846554953465,0.009843166352722576
108,7.151341134614291,0.01033568326231073
16,7.113222079353602,0.010527095774097512
224,7.056572671137786,0.010818560415677672
109,7.028115775048021,0.01096820409235535
15,7.025265392476573,0.010983314127649536
14,6.9395386749312395,0.011448275537688722
110,6.90576236669903,0.011637189291096361
391,6.888142152480708,0.011737056497374788
13,6.841198672358822,0.012007605501695395
111,6.786829402665534,0.012329283040273172
12,6.764478948440563,0.012464173785589672
11,6.699783395609797,0.012863574636093306
112,6.662925022270256,0.01309720657316878
10,6.593008648288372,0.013552911444261139
113,6.537424933108981,0.01392726732316406
9,6.498819621243578,0.014193760936477142
392,6.438033445233559,0.014624466379854135
114,6.414822713942948,0.014792592258726612
8,6.327194870105759,0.015446176340054345
115,6.284311704723586,0.015777212179580884
223,6.258081588686838,0.015983427228817345
7,6.172712634433644,0.016674776843523
116,6.154269656214041,0.016828295892242752
117,6.024357200592726,0.017953487167584162
6,6.022159335832795,0.017973202397601074
393,6.016976944668777,0.018019781190112362
118,5.896480314556078,0.01914006810961544
5,5.881613984967936,0.019283373537781114
119,5.7712385777454855,0.020384012278272398
4,5.714755000292177,0.020973151745674556
120,5.644073603224906,0.021736245637692345
394,5.604964102741495,0.02217124744044588
3,5.558565401578667,0.022699487082558374
222,5.545947255286721,0.022845469415136484
121,5.520923777210605,0.023137964894625107
2,5.429093424587262,0.024246339314927094
122,5.4080744962077025,0.02450798082601522
123,5.296266864138529,0.02595178462733296
1,5.292681341451951,0.025999575115977582
395,5.203895389620417,0.027213737992158035
124,5.188309879765207,0.027433107093050198
0,5.150002527392754,0.027980433309825962
125,5.082110085677403,0.028979612886607373
126,4.979680888856907,0.030560661224701528
221,4.918127792549811,0.03155540016955055
127,4.8728235117834835,0.03230988939498089
396,4.835108415189028,0.03295287522556131
128,4.76744939718796,0.034141326023122115
129,4.667439109591697,0.03598386508744412
130,4.569534602913064,0.037892439556960894
397,4.488973470645163,0.039545376240332594
131,4.473506763259606,0.039871591290595414
132,4.382058884826864,0.04186113471450317
220,4.366799493325967,0.0422035071932204
133,4.294583261084294,0.043865685252708
134,4.207511564857305,0.04596525261606016
398,4.133917649056565,0.04782541810179267
135,4.125892833314662,0.04803317129601109
136,4.042862246119613,0.05024157846723668
137,3.959457266143861,0.05257222215036311
219,3.8827351925474853,0.05482097385257252
138,3.8750821016864285,0.05505100856228047
399,3.801172764396852,0.05732787927949282
139,3.7914110101363097,0.057636253584696644
140,3.7090997003086694,0.060310175421659507
141,3.6318390691253275,0.0629446401400179
142,3.56056869082048,0.06548764158088947
143,3.4947364796601423,0.06793764235665234
400,3.480412441667184,0.0684840344098131
218,3.461186844967353,0.06922504957870229
144,3.431993596997389,0.07036726792639943
145,3.3745072553650846,0.07267799284361011
146,3.3193973890915687,0.07497239846667116
147,3.269768281152879,0.0771075772470614
148,3.222331275376243,0.07921178849976863
401,3.1857365312147907,0.08087874261817136
149,3.178846655547269,0.08119693877379341
150,3.1391817784850646,0.08305614757173989
151,3.1007313556479676,0.08490386690029313
217,3.094213235797058,0.08522161893916952
152,3.0652736428241636,0.08664853247068142
153,3.031740350918131,0.08833545517171446
154,2.996340956158218,0.09015624278883007
155,2.9633333145467367,0.09189196167841321
156,2.9298529207498407,0.093690921211079
402,2.9041087895669,0.09510110175817309
157,2.8953766060712716,0.09558482651821333
158,2.8586857286730853,0.09764780038215326
159,2.8209201794138012,0.09982369061121778
160,2.7830981876724827,0.10205775555124522
216,2.776464507434571,0.10245537916232608
161,2.743859344428068,0.10443534289831329
162,2.702815936533166,0.10698949833835777
163,2.6607851226330093,0.1096786454019479
403,2.637803452771196,0.11118137820924774
164,2.615778153736732,0.11264354183025184
165,2.569149498007123,0.115811702845654
166,2.5211106226431617,0.11918222045956782
215,2.502911279433265,0.1204882387544306
167,2.4705266798263517,0.12285284642681131
168,2.421055686477703,0.12656826630950838
404,2.3962861814192222,0.12847679965437322
169,2.3722130043706375,0.13036339352638576
170,2.3254898770954084,0.13411667906943495
171,2.280039500038927,0.13788764298921652
214,2.267080322803918,0.13898517169917196
172,2.2366862470349043,0.14159913756251333
173,2.1939809267009536,0.14536869411425007
405,2.1665959977638143,0.14784720813660945
174,2.152932456314694,0.14910219441523187
175,2.1126945373295665,0.1528706860817746
176,2.0725884401863515,0.15673785530030346
213,2.0655030319511023,0.15743287988655838
177,2.031014187796098,0.16086794339254334
178,1.9898058114125285,0.16508821884800307
406,1.951268084971492,0.16915329581067073
179,1.9491041805916864,0.16938502839523775
180,1.9082506204847403,0.17383121308397154
212,1.893697015989385,0.1754483701223368
181,1.8684830244592974,0.17829250029291707
182,1.8295444219174997,0.18279313977640152
183,1.7904568609143006,0.18744780440648856
407,1.7567211355115508,0.1915794537690029
184,1.7516200942128821,0.19221363966836857
211,1.7479523238124008,0.19267119139362926
185,1.7122866562468855,0.19718938863396823
186,1.6707995543049656,0.20260669479459323
187,1.6291704817930988,0.20822449955547187
210,1.6246081573187965,0.2088516032786838
825,1.5960038712621305,0.21283611972204095
188,1.5860356071550572,0.21424639713824742
408,1.5636899219229172,0.21744947057696154
679,1.5597120003240639,0.2180257964925995
666,1.5578451262519544,0.21829691589562697
674,1.547784155596286,0.21976516362799714
661,1.5434945579733783,0.2203948445133498
189,1.543257806441145,0.2204296622437619
669,1.5415698968441274,0.22067808930798494
671,1.5336378447479682,0.22185014187489274
651,1.533469584768746,0.2218750868832302
664,1.5327998909541978,0.22197440498489254
673,1.5325780463324346,0.22200731740961474
677,1.5256848109096552,0.2230329772411372
680,1.5243735334797541,0.22322874371737647
209,1.5205781837487988,0.22379656013956695
676,1.5203963612901055,0.22382380686588
665,1.5170093644739149,0.22433210674988924
649,1.5161722839764964,0.224457949468063
667,1.5149737823283405,0.22463827777362058
687,1.5149481039491677,0.22464214333023946
682,1.513698673055154,0.22483032834796718
672,1.5134628682218527,0.22486586622736135
